Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Winchmore 2 Ews,42899,H31772,-43.78916,171.79029,164,H,Niwa
Winchmore Ews,4764,H31883,-43.79346,171.79512,160,H,Niwa/Agresearch
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Form_DLY (Extended)
(Note that non standard row charges apply. For details search the help on "fdly").
Station,Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET05(C),ET10(C),ET20(C),ET50(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),SoilM(%)
4764,20130208:0000,24,8.6,306,0.0,15.7,22.8,9.9,8.8,14.1,-,20.2,-,-,-,1022.8,-,-,28.18,14.9
4764,20130209:0000,125,6.9,153,0.1,16.1,25.4,7.9,3.1,15.4,-,20.4,-,-,-,1018.5,-,-,22.16,14.1
4764,20130210:0000,20,9.4,220,0.0,20.0,30.1,12.1,8.0,15.7,-,21.4,-,-,-,1013.7,-,-,23.89,13.4
4764,20130211:0000,202,10.1,193,0.0,17.9,26.1,12.6,11.4,14.4,-,21.1,-,-,-,1010.3,-,-,19.25,12.8
4764,20130212:0000,68,9.0,211,0.0,15.4,21.3,11.9,12.0,13.5,-,20.0,-,-,-,1011.4,-,-,14.89,12.4
4764,20130213:0000,140,8.0,224,0.1,11.8,14.3,8.1,2.5,11.4,-,17.6,-,-,-,1011.2,-,-,6.92,12.2
4764,20130214:0000,320,9.2,252,0.0,15.9,26.8,4.6,0.0,8.8,-,18.4,-,-,-,1011.2,-,-,25.68,11.8
4764,20130215:0000,52,8.7,246,0.0,15.6,23.1,8.2,3.9,12.7,-,19.7,-,-,-,1014.6,-,-,23.89,11.5
4764,20130216:0000,130,9.6,175,0.0,17.3,26.1,8.3,4.5,12.5,-,19.8,-,-,-,1013.2,-,-,17.67,11.2
4764,20130217:0000,160,5.3,180,1.4,12.7,16.1,7.6,2.4,12.8,-,18.4,-,-,-,1021.6,-,-,7.87,11.0
4764,20130218:0000,127,7.0,207,0.0,16.2,27.6,6.6,0.8,11.1,-,18.9,-,-,-,1024.8,-,-,26.80,10.9
4764,20130219:0000,30,10.3,272,0.0,17.1,28.1,5.2,0.7,11.1,-,19.5,-,-,-,1023.0,-,-,26.26,10.7
4764,20130220:0000,239,6.2,167,0.0,15.3,21.3,9.3,3.6,13.5,-,19.5,-,-,-,1020.3,-,-,14.03,10.4
4764,20130221:0000,160,9.0,181,1.7,13.1,22.9,8.3,4.2,12.3,-,18.1,-,-,-,1020.7,-,-,13.09,10.3
4764,20130222:0000,139,5.9,150,0.0,11.7,18.6,6.3,0.0,10.9,-,17.7,-,-,-,1025.6,-,-,14.16,10.2
4764,20130223:0000,131,7.0,118,0.0,11.1,19.8,3.8,-1.5,10.7,-,16.8,-,-,-,1027.5,-,-,16.25,10.2
4764,20130224:0000,132,7.3,198,0.0,12.5,21.9,4.1,-0.2,11.5,-,17.8,-,-,-,1030.6,-,-,25.26,10.1
4764,20130225:0000,80,7.8,262,0.0,15.4,23.8,10.5,9.9,13.2,-,19.4,-,-,-,1030.0,-,-,21.08,9.9
4764,20130226:0000,40,8.1,257,0.0,16.8,26.6,11.8,11.8,15.0,-,20.0,-,-,-,1025.9,-,-,18.96,9.8
4764,20130227:0000,64,8.4,181,0.2,16.7,24.0,13.2,13.2,15.7,-,20.2,-,-,-,1022.5,-,-,15.99,9.7
4764,20130228:0000,45,8.0,290,0.0,18.3,28.9,10.9,9.2,14.6,-,20.6,-,-,-,1012.4,-,-,22.26,9.5
4764,20130301:0000,221,8.8,225,0.0,16.6,23.4,12.0,9.1,14.1,-,21.0,-,-,-,1013.3,-,-,21.93,9.4
4764,20130302:0000,112,7.4,124,0.0,15.5,20.7,12.1,11.3,14.1,-,19.8,-,-,-,1010.7,-,-,10.52,9.3
4764,20130303:0000,43,7.7,211,1.4,12.8,16.3,8.9,5.5,11.9,-,18.0,-,-,-,1009.8,-,-,9.46,9.3
4764,20130304:0000,161,10.4,245,0.3,12.4,20.2,7.9,6.6,11.2,-,17.1,-,-,-,1007.9,-,-,12.67,9.3
4764,20130305:0000,18,10.4,235,0.0,14.3,23.9,6.5,4.0,10.1,-,18.4,-,-,-,1014.0,-,-,22.49,9.2
4764,20130306:0000,184,10.0,236,0.9,15.6,28.0,8.9,6.3,10.4,-,18.2,-,-,-,1012.4,-,-,11.33,9.1
4764,20130307:0000,74,7.9,251,0.4,13.2,20.8,8.3,8.8,12.1,-,17.7,-,-,-,1018.8,-,-,16.62,9.1
4764,20130308:0000,150,9.6,222,0.4,17.2,29.4,7.2,3.2,12.7,-,19.1,-,-,-,1019.4,-,-,20.93,9.1
4764,20130309:0000,32,7.6,207,0.8,14.1,19.4,11.3,10.4,13.8,-,18.2,-,-,-,1023.2,-,-,8.00,9.0
4764,20130310:0000,27,7.2,180,4.2,13.3,15.8,11.5,11.5,14.0,-,17.2,-,-,-,1022.1,-,-,6.49,9.2
4764,20130311:0000,236,7.0,178,0.0,13.1,18.6,10.1,8.4,12.8,-,16.9,-,-,-,1023.4,-,-,9.98,9.6
4764,20130312:0000,53,6.6,190,0.0,13.0,17.6,10.1,10.5,12.0,-,16.4,-,-,-,1021.7,-,-,7.06,9.6
4764,20130313:0000,126,5.4,131,0.0,13.8,20.1,10.2,5.9,12.6,-,16.7,-,-,-,1016.4,-,-,9.08,9.7
4764,20130314:0000,45,8.2,245,0.0,17.8,29.8,8.9,6.8,12.5,-,18.1,-,-,-,1010.9,-,-,20.14,9.6
4764,20130315:0000,253,4.9,144,0.0,16.9,25.4,11.8,7.9,14.1,-,18.6,-,-,-,1014.3,-,-,12.46,9.5
4764,20130316:0000,243,5.4,127,0.0,13.9,16.8,11.2,10.5,13.6,-,17.7,-,-,-,1015.7,-,-,5.19,9.4
4764,20130317:0000,214,7.2,153,16.2,14.1,20.9,10.8,10.0,14.9,-,17.2,-,-,-,1000.6,-,-,7.48,10.3
4764,20130318:0000,198,7.9,159,17.7,11.8,13.6,8.1,8.6,13.2,-,16.0,-,-,-,1001.1,-,-,5.49,17.9
4764,20130319:0000,240,7.7,162,2.2,9.3,12.7,6.5,7.0,10.4,-,15.1,-,-,-,1015.0,-,-,8.71,19.7
4764,20130320:0000,127,8.9,155,0.0,11.0,18.2,4.8,-0.4,9.9,-,15.7,-,-,-,1024.8,-,-,18.97,18.8
4764,20130321:0000,97,8.2,211,0.0,11.9,19.6,4.0,-0.8,10.0,-,15.4,-,-,-,1029.3,-,-,19.09,18.2
4764,20130322:0000,83,8.5,293,0.0,13.4,21.4,7.2,4.5,11.6,-,15.7,-,-,-,1028.2,-,-,18.91,17.6
4764,20130323:0000,341,8.8,253,0.0,15.5,24.9,4.6,-1.0,9.6,-,16.1,-,-,-,1022.7,-,-,17.97,17.1
4764,20130324:0000,336,8.0,238,0.0,16.4,22.1,8.3,3.3,10.3,-,16.0,-,-,-,1019.1,-,-,8.86,16.7
4764,20130325:0000,335,12.0,392,0.0,19.1,26.6,13.7,8.6,10.7,-,17.0,-,-,-,1014.9,-,-,14.64,16.3
4764,20130326:0000,136,9.9,220,0.1,14.8,20.3,11.1,10.4,13.0,-,17.1,-,-,-,1024.0,-,-,11.65,15.8
4764,20130327:0000,23,7.4,147,0.1,12.8,17.8,7.1,1.5,13.4,-,16.3,-,-,-,1025.9,-,-,5.53,15.6
4764,20130328:0000,30,5.5,139,0.1,13.7,24.4,4.4,0.3,12.6,-,16.2,-,-,-,1022.9,-,-,17.37,15.2
4764,20130329:0000,332,8.4,178,0.3,14.1,22.4,3.8,0.6,12.1,-,17.0,-,-,-,1011.9,-,-,16.55,14.9
4764,20130330:0000,326,8.3,200,0.0,17.2,26.1,6.5,1.6,10.1,-,17.1,-,-,-,1009.5,-,-,15.46,14.4
4764,20130331:0000,342,11.0,299,1.5,16.4,21.9,10.8,5.1,12.0,-,16.1,-,-,-,1002.3,-,-,9.12,14.1
4764,20130401:0000,348,11.8,328,0.0,15.4,19.4,8.5,2.8,10.7,-,16.1,-,-,-,1009.1,-,-,15.47,13.8
4764,20130402:0000,1,12.5,263,0.0,14.4,25.3,3.0,-1.2,10.2,-,15.8,-,-,-,1009.5,-,-,16.51,13.6
4764,20130403:0000,355,13.5,352,4.5,15.6,24.4,7.1,7.8,11.5,-,16.2,-,-,-,1003.0,-,-,6.39,13.4
4764,20130404:0000,37,5.7,151,1.1,9.3,16.5,2.5,-1.6,8.8,-,14.4,-,-,-,1016.5,-,-,15.88,14.7
4764,20130405:0000,217,9.4,148,17.1,7.4,14.3,3.0,-0.9,9.2,-,12.4,-,-,-,1022.5,-,-,4.96,15.7
4764,20130406:0000,192,5.4,101,0.0,7.9,13.3,4.3,-0.2,9.0,-,12.3,-,-,-,1027.3,-,-,8.46,18.4
4764,20130407:0000,88,5.9,162,0.9,7.8,13.7,2.3,-0.8,8.8,-,12.3,-,-,-,1026.0,-,-,9.36,18.0
4764,20130408:0000,187,5.5,126,0.3,10.8,18.2,3.4,0.0,9.5,-,13.9,-,-,-,1019.6,-,-,14.25,17.6
4764,20130409:0000,155,9.1,136,5.3,8.5,10.8,4.7,0.7,9.7,-,13.0,-,-,-,1024.9,-,-,3.44,18.1
4764,20130410:0000,43,7.0,223,0.0,7.4,15.5,-1.2,-5.1,8.2,-,11.7,-,-,-,1023.4,-,-,14.90,18.2
4764,20130411:0000,359,11.7,338,0.0,13.1,21.6,1.4,-2.1,8.9,-,12.3,-,-,-,1014.0,-,-,13.66,17.8
4764,20130412:0000,294,9.1,221,0.0,12.3,17.8,5.3,-0.7,10.5,-,13.9,-,-,-,1021.3,-,-,10.43,17.4
4764,20130413:0000,45,6.4,132,0.0,8.4,15.4,1.8,-2.3,9.8,-,12.1,-,-,-,1024.1,-,-,7.97,17.1
4764,20130414:0000,326,7.4,237,0.1,11.7,21.7,1.1,-2.2,10.0,-,12.6,-,-,-,1016.9,-,-,13.87,16.9
4764,20130415:0000,305,6.8,202,0.0,16.4,25.8,8.2,3.0,11.2,-,14.3,-,-,-,1011.9,-,-,12.41,16.5
4764,20130416:0000,224,7.3,220,6.4,10.7,15.2,6.1,2.7,11.4,-,13.0,-,-,-,1011.9,-,-,4.46,16.3
4764,20130417:0000,221,6.2,102,1.6,10.5,12.4,8.7,6.1,12.1,-,13.2,-,-,-,1006.5,-,-,2.17,17.7
4764,20130418:0000,166,4.8,116,0.0,10.0,12.4,6.9,4.2,11.2,-,13.1,-,-,-,1011.0,-,-,4.32,17.6
4764,20130419:0000,124,5.4,86,0.1,9.5,11.7,7.4,7.1,10.6,-,12.9,-,-,-,1015.8,-,-,2.49,17.4
4764,20130420:0000,126,10.7,278,22.6,8.4,10.0,6.7,7.1,10.5,-,11.8,-,-,-,1018.1,-,-,2.88,21.5
4764,20130421:0000,63,7.6,140,15.5,9.2,11.4,6.4,3.2,11.2,-,12.0,-,-,-,1010.2,-,-,2.77,24.2
4764,20130422:0000,218,3.7,99,1.1,9.7,13.8,3.9,1.3,11.7,-,12.1,-,-,-,1002.8,-,-,4.46,24.3
4764,20130423:0000,141,5.0,123,0.0,11.6,18.2,7.2,3.3,12.4,-,14.1,-,-,-,1001.2,-,-,10.79,24.0
4764,20130424:0000,124,6.8,180,0.2,10.9,16.6,5.5,2.0,11.2,-,13.0,-,-,-,1000.1,-,-,9.13,23.6
4764,20130425:0000,313,5.2,149,0.2,12.4,21.7,6.9,3.7,10.5,-,13.8,-,-,-,1001.0,-,-,11.20,23.2
4764,20130426:0000,355,15.9,272,0.0,11.2,16.2,4.3,-0.7,9.8,-,12.2,-,-,-,1001.2,-,-,5.62,22.9
4764,20130427:0000,2,15.0,324,0.0,13.4,16.4,5.5,1.6,9.6,-,12.4,-,-,-,1001.9,-,-,9.69,22.6
4764,20130428:0000,347,16.4,402,0.0,17.2,22.6,11.2,6.2,9.6,-,12.9,-,-,-,1007.1,-,-,9.44,22.1
4764,20130429:0000,334,13.7,208,0.0,13.7,19.4,8.6,6.0,12.5,-,13.7,-,-,-,1009.5,-,-,7.77,21.8
4764,20130430:0000,130,9.0,181,1.7,7.7,12.0,2.2,-1.4,9.8,-,12.1,-,-,-,1019.8,-,-,3.16,21.7
4764,20130501:0000,55,7.0,219,0.0,7.1,14.8,-0.8,-4.9,7.9,-,10.3,-,-,-,1020.7,-,-,10.67,21.6
4764,20130502:0000,326,5.8,149,2.9,6.7,13.3,0.8,-4.2,8.2,-,9.7,-,-,-,1012.2,-,-,2.14,21.5
4764,20130503:0000,46,6.9,170,0.1,8.3,13.7,4.9,4.5,9.5,-,11.3,-,-,-,1017.9,-,-,7.24,21.4
4764,20130504:0000,1,11.8,360,0.0,13.4,21.2,4.6,2.8,10.7,-,11.9,-,-,-,1003.5,-,-,8.67,21.2
4764,20130505:0000,215,14.5,354,6.3,12.1,16.5,6.8,7.0,11.3,-,12.4,-,-,-,992.5,-,-,4.04,21.1
4764,20130506:0000,230,16.0,439,34.1,5.9,8.4,4.0,3.5,8.8,-,10.2,-,-,-,1007.7,-,-,2.51,26.5
4764,20130507:0000,329,5.4,133,0.2,5.5,14.8,-0.7,-4.2,7.2,-,9.5,-,-,-,1020.6,-,-,9.59,26.2
4764,20130508:0000,86,6.2,178,0.0,6.1,14.6,-0.6,-5.1,7.8,-,8.8,-,-,-,1025.1,-,-,9.52,25.8
4764,20130509:0000,313,15.4,214,0.0,8.5,14.8,3.2,-1.1,8.6,-,10.1,-,-,-,1011.3,-,-,7.74,25.6
4764,20130510:0000,179,13.1,294,5.0,6.2,10.3,1.8,-2.7,7.3,-,10.0,-,-,-,1018.9,-,-,7.19,26.2
4764,20130511:0000,286,5.8,192,0.0,6.5,13.3,-0.4,-3.2,7.1,-,8.8,-,-,-,1028.7,-,-,8.36,26.3
4764,20130512:0000,327,5.8,195,0.0,12.8,24.7,4.0,-0.1,10.7,-,10.7,-,-,-,1028.8,-,-,8.51,26.0
4764,20130513:0000,17,6.8,164,0.2,8.6,10.9,4.5,2.6,10.8,-,10.8,-,-,-,1025.2,-,-,2.27,25.8
